Offer                                        Publisher                         Sku                                             Urn                                                                                                                     Version
docker-ce-with-centos-8-0-cm                 cloudmavensolutions               docker-ce-with-centos-8-0-cm                    cloudmavensolutions:docker-ce-with-centos-8-0-cm:docker-ce-with-centos-8-0-cm:1.2020.0710                               1.2020.0710
apache-web-server-with-centos-77             cognosys                          apache-web-server-with-centos-77                cognosys:apache-web-server-with-centos-77:apache-web-server-with-centos-77:1.2019.1009                                  1.2019.1009
centos-7-9-cw                                cloudwhizsolutions                centos-7-9-cw                                   cloudwhizsolutions:centos-7-9-cw:centos-7-9-cw:1.2019.0711                                                              1.2019.0711
docker-ce-with-centos-8-2-cm                 cloudmavensolutions               docker-ce-on-centos-8-2-cm                      cloudmavensolutions:docker-ce-with-centos-8-2-cm:docker-ce-on-centos-8-2-cm:1.2020.0710                                 1.2020.0710
apache-web-server-with-centos-77-free        cognosys                          apache-web-server-with-centos-77-free           cognosys:apache-web-server-with-centos-77-free:apache-web-server-with-centos-77-free:1.2019.1009                        1.2019.1009
centos-7-cw                                  cloudwhizsolutions                centos-7-cw                                     cloudwhizsolutions:centos-7-cw:centos-7-cw:1.2019.0711                                                                  1.2019.0711
httpd-server-on-centos-8-2-cm                cloudmavensolutions               httpd-on-centos-8-2-cm                          cloudmavensolutions:httpd-server-on-centos-8-2-cm:httpd-on-centos-8-2-cm:1.2020.1009                                    1.2020.1009
apache-web-server-with-centos-8-1            cognosys                          apache-web-server-with-centos-8-1               cognosys:apache-web-server-with-centos-8-1:apache-web-server-with-centos-8-1:1.2019.1009                                1.2019.1009
centos-75                                    cloudwhizsolutions                centos-75                                       cloudwhizsolutions:centos-75:centos-75:1.2019.0711                                                                      1.2019.0711
centos-75                                    cloudwhizsolutions                centos-75                                       cloudwhizsolutions:centos-75:centos-75:1.2029.0714                                                                      1.2029.0714
lamp-with-centos-7-8-cm                      cloudmavensolutions               lamp-on-centos-7-8-cm                           cloudmavensolutions:lamp-with-centos-7-8-cm:lamp-on-centos-7-8-cm:1.2020.1009                                           1.2020.1009
apache-web-server-with-centos-8-2            cognosys                          apache-web-server-with-centos-8-2               cognosys:apache-web-server-with-centos-8-2:apache-web-server-with-centos-8-2:1.2019.1009                                1.2019.1009
centos-76                                    cloudwhizsolutions                centos-76                                       cloudwhizsolutions:centos-76:centos-76:1.2019.1014                                                                      1.2019.1014
lamp-with-centos-7-8-mariadb10-cm            cloudmavensolutions               lamp-on-centos-7-8-mariadb10-cm                 cloudmavensolutions:lamp-with-centos-7-8-mariadb10-cm:lamp-on-centos-7-8-mariadb10-cm:1.2020.1009                       1.2020.1009
apache-web-server-with-centos-8-stream       cognosys                          apache-web-server-with-centos-8-stream          cognosys:apache-web-server-with-centos-8-stream:apache-web-server-with-centos-8-stream:1.2019.1009                      1.2019.1009
centos-8-0-cw                                cloudwhizsolutions                centos-8-0-cw                                   cloudwhizsolutions:centos-8-0-cw:centos-8-0-cw:1.2019.0711                                                              1.2019.0711
lamp-with-centos-8-2-cm                      cloudmavensolutions               lamp-on-centos-8-2-cm                           cloudmavensolutions:lamp-with-centos-8-2-cm:lamp-on-centos-8-2-cm:1.2020.1010                                           1.2020.1010
centos-6-9                                   cognosys                          centos-6-9-hardened                             cognosys:centos-6-9:centos-6-9-hardened:1.0.1                                                                           1.0.1
centos-8-1-cw                                cloudwhizsolutions                centos-8-1-cw                                   cloudwhizsolutions:centos-8-1-cw:centos-8-1-cw:1.2019.0711                                                              1.2019.0711
mariadb-10-on-centos-8-2-cm                  cloudmavensolutions               mariadb-10-on-centos-8-2-cm                     cloudmavensolutions:mariadb-10-on-centos-8-2-cm:mariadb-10-on-centos-8-2-cm:1.2019.1009                                 1.2019.1009
centos-7                                     cognosys                          centos-7                                        cognosys:centos-7:centos-7:1.2019.0810                                                                                  1.2019.0810
centos-8-2-cw                                cloudwhizsolutions                centos-8-2-cw                                   cloudwhizsolutions:centos-8-2-cw:centos-8-2-cw:1.2019.0711                                                              1.2019.0711
mediawiki-on-centos-8-2-cm                   cloudmavensolutions               mediawiki-on-centos-8-2-cm                      cloudmavensolutions:mediawiki-on-centos-8-2-cm:mediawiki-on-centos-8-2-cm:1.2020.1009                                   1.2020.1009
centos-8-3-cw                                cloudwhizsolutions                centos-8-3-cw                                   cloudwhizsolutions:centos-8-3-cw:centos-8-3-cw:1.2019.0712                                                              1.2019.0712
centos-7-3                                   cognosys                          hardened-centos-7-3                             cognosys:centos-7-3:hardened-centos-7-3:1.0.1                                                                           1.0.1
moodle-on-centos-8-2-cm                      cloudmavensolutions               moodle-on-centos-8-2-cm                         cloudmavensolutions:moodle-on-centos-8-2-cm:moodle-on-centos-8-2-cm:1.2019.1011                                         1.2019.1011
centos-8-cw                                  cloudwhizsolutions                centos-8-cw                                     cloudwhizsolutions:centos-8-cw:centos-8-cw:1.2019.0711                                                                  1.2019.0711
centos-7-4                                   cognosys                          hardened-centos-7-4                             cognosys:centos-7-4:hardened-centos-7-4:1.0.1                                                                           1.0.1
centos-7-4                                   cognosys                          hardened-centos-7-4                             cognosys:centos-7-4:hardened-centos-7-4:1.0.2                                                                           1.0.2
nginx-on-centos-8-2-cm                       cloudmavensolutions               nginx-on-centos-8-2-cm                          cloudmavensolutions:nginx-on-centos-8-2-cm:nginx-on-centos-8-2-cm:1.2020.1009                                           1.2020.1009
centos-8-stream-cw                           cloudwhizsolutions                centos-8-stream-cw                              cloudwhizsolutions:centos-8-stream-cw:centos-8-stream-cw:1.2019.0712                                                    1.2019.0712
centos-7-4-v1                                cognosys                          centos-7-4                                      cognosys:centos-7-4-v1:centos-7-4:1.0.1                                                                                 1.0.1
centos-78                                    desktopstudioag1580294245574      standard                                        desktopstudioag1580294245574:centos-78:standard:1.0.0                                                                   1.0.0
nginx-with-centos-7-7-cm                     cloudmavensolutions               nginx-with-centos-7-7-cm                        cloudmavensolutions:nginx-with-centos-7-7-cm:nginx-with-centos-7-7-cm:1.2020.1009                                       1.2020.1009
docker-community-edition-with-centos-7-6-cw  cloudwhizsolutions                docker-community-edition-with-centos-7-6-cw     cloudwhizsolutions:docker-community-edition-with-centos-7-6-cw:docker-community-edition-with-centos-7-6-cw:1.2019.0710  1.2019.0710
centos-7-5                                   cognosys                          hardened-centos-7-5                             cognosys:centos-7-5:hardened-centos-7-5:1.0.1                                                                           1.0.1
nodejs-10-with-centos-8-2                    cloudmavensolutions               node-js-10-on-centos-8-2-cm                     cloudmavensolutions:nodejs-10-with-centos-8-2:node-js-10-on-centos-8-2-cm:1.2020.1010                                   1.2020.1010
docker-community-edition-with-centos-7-7-cw  cloudwhizsolutions                docker-community-edition-with-centos-7-7-cw     cloudwhizsolutions:docker-community-edition-with-centos-7-7-cw:docker-community-edition-with-centos-7-7-cw:1.2019.1001  1.2019.1001
centos-7-8                                   cognosys                          centos-7-8                                      cognosys:centos-7-8:centos-7-8:1.2019.0810                                                                              1.2019.0810
centos-7-8                                   cognosys                          centos-7-8                                      cognosys:centos-7-8:centos-7-8:1.2020.1210                                                                              1.2020.1210
nodejs-12-with-centos-8-2-cm                 cloudmavensolutions               node-js-12-on-centos-8-2-cm                     cloudmavensolutions:nodejs-12-with-centos-8-2-cm:node-js-12-on-centos-8-2-cm:1.2020.1010                                1.2020.1010
git-community-edition-with-centos-7-6-cw     cloudwhizsolutions                git-community-edition-with-centos-76-cw         cloudwhizsolutions:git-community-edition-with-centos-7-6-cw:git-community-edition-with-centos-76-cw:1.2019.0711         1.2019.0711
centos-7-8-free                              cognosys                          centos-7-8-free                                 cognosys:centos-7-8-free:centos-7-8-free:1.2019.0810                                                                    1.2019.0810
nodejs-14-with-centos-8-2-cm                 cloudmavensolutions               node-js-14-on-centos-8-2-cm                     cloudmavensolutions:nodejs-14-with-centos-8-2-cm:node-js-14-on-centos-8-2-cm:1.2020.1010                                1.2020.1010
git-community-edition-with-centos-7-7-cw     cloudwhizsolutions                git-community-edition-with-centos-77-cw         cloudwhizsolutions:git-community-edition-with-centos-7-7-cw:git-community-edition-with-centos-77-cw:1.2019.1001         1.2019.1001
centos-7-9                                   cognosys                          centos-7-9                                      cognosys:centos-7-9:centos-7-9:1.2019.0810                                                                              1.2019.0810
openjdk-11-on-centos-7-8-cm                  cloudmavensolutions               openjdk-11-on-centos-7-8-cm                     cloudmavensolutions:openjdk-11-on-centos-7-8-cm:openjdk-11-on-centos-7-8-cm:1.2020.1001                                 1.2020.1001
centos-7-9-free                              cognosys                          centos-7-9-free                                 cognosys:centos-7-9-free:centos-7-9-free:1.2019.0810                                                                    1.2019.0810
haproxy-with-centos-7-5-cw                   cloudwhizsolutions                haproxy-1-5-3-with-centos-7-5-cw                cloudwhizsolutions:haproxy-with-centos-7-5-cw:haproxy-1-5-3-with-centos-7-5-cw:1.2019.1001                              1.2019.1001
openjdk-11-on-centos-8-2-cm                  cloudmavensolutions               openjdk-11-on-centos-8-2-cm                     cloudmavensolutions:openjdk-11-on-centos-8-2-cm:openjdk-11-on-centos-8-2-cm:1.2020.1001                                 1.2020.1001
centos-7-lvm                                 cognosys                          centos-7-lvm                                    cognosys:centos-7-lvm:centos-7-lvm:1.2019.0810                                                                          1.2019.0810
